character,short description,tags,LLM description
🧑🏻‍🤝‍🧑🏿,PEOPLE HOLDING HANDS LIGHT SKIN TONE DARK SKIN TONE,"['people holding hands' 'unity' 'support' 'love' 'skin tone'
 'light skin tone' 'dark skin tone']","This emoji shows two people, one with a light skin tone and the other with a dark skin tone, holding hands, symbolizing unity, support, and love between individuals."
🧑🏻‍🤝‍🧑🏾,PEOPLE HOLDING HANDS LIGHT SKIN TONE MEDIUM-DARK SKIN TONE,"['people holding hands' 'unity' 'support' 'love' 'skin tone'
 'light skin tone' 'medium-dark skin tone']","This emoji shows two people, one with a light skin tone and the other with a medium-dark skin tone, holding hands, symbolizing unity, support, and love between individuals."
🧑🏻‍🤝‍🧑🏼,PEOPLE HOLDING HANDS LIGHT SKIN TONE MEDIUM-LIGHT SKIN TONE,"['people holding hands' 'love' 'unity' 'support' 'skin tone'
 'light skin tone' 'medium-light skin tone']","This emoji shows two people, one with a light skin tone and the other with a medium-light skin tone, holding hands, symbolizing love, unity, and support between individuals."
🧑🏻‍🤝‍🧑🏽,PEOPLE HOLDING HANDS LIGHT SKIN TONE MEDIUM SKIN TONE,"['people holding hands' 'love' 'unity' 'support' 'affection'
 'diverse relationships' 'light skin tone' 'medium skin tone']","This emoji shows two people of light and medium skin tones holding hands, symbolizing love, unity, and support, often used to express affection or to represent diverse relationships."
🧑🏾‍🤝‍🧑🏾,PEOPLE HOLDING HANDS MEDIUM-DARK SKIN TONE,"['people holding hands' 'medium-dark skin tone' 'love' 'unity' 'support'
 'affection' 'diverse relationships']","This emoji shows two people with medium-dark skin tone holding hands, symbolizing love, unity, and support, often used to express affection or to represent diverse relationships."
🧑🏾‍🤝‍🧑🏿,PEOPLE HOLDING HANDS MEDIUM-DARK SKIN TONE DARK SKIN TONE,"['people holding hands' 'unity' 'connection' 'support' 'skin tone'
 'medium-dark' 'dark']","This emoji shows two people of medium-dark and dark skin tones holding hands, symbolizing unity, support, and connection between individuals."
🧑🏾‍🤝‍🧑🏻,PEOPLE HOLDING HANDS MEDIUM-DARK SKIN TONE LIGHT SKIN TONE,"['people holding hands' 'love' 'unity' 'support' 'skin tone'
 'medium-dark skin' 'light skin']","This emoji shows two people, one with medium-dark skin tone and the other with light skin tone, holding hands, symbolizing love, unity, and support between individuals."
🧑🏾‍🤝‍🧑🏼,PEOPLE HOLDING HANDS MEDIUM-DARK SKIN TONE MEDIUM-LIGHT SKIN TONE,"['people holding hands' 'affection' 'unity' 'support'
 'diverse relationships' 'skin tone' 'love']","This emoji shows two people of medium-dark and medium-light skin tones holding hands, symbolizing love, unity, and support, often used to express affection or to represent diverse relationships."
🧑🏾‍🤝‍🧑🏽,PEOPLE HOLDING HANDS MEDIUM-DARK SKIN TONE MEDIUM SKIN TONE,"['people holding hands' 'affection' 'unity' 'support'
 'diverse relationships' 'skin tone' 'medium-dark skin tone'
 'medium skin tone']","This emoji shows two people of medium-dark and medium skin tones holding hands, symbolizing love, unity, and support, often used to express affection or to represent diverse relationships."
🧑🏼‍🤝‍🧑🏼,PEOPLE HOLDING HANDS MEDIUM-LIGHT SKIN TONE,"['people holding hands' 'affection' 'unity' 'support'
 'medium-light skin tone' 'bond' 'love']","This emoji shows two people with medium-light skin tone holding hands, representing love, unity, and support, often used to express affection or to symbolize the bond between individuals."
🧑🏼‍🤝‍🧑🏿,PEOPLE HOLDING HANDS MEDIUM-LIGHT SKIN TONE DARK SKIN TONE,"['people holding hands' 'unity' 'connection' 'support' 'skin tone'
 'medium-light' 'dark']","This emoji shows two people of medium-light and dark skin tones holding hands, symbolizing unity, support, and connection between individuals."
🧑🏼‍🤝‍🧑🏻,PEOPLE HOLDING HANDS MEDIUM-LIGHT SKIN TONE LIGHT SKIN TONE,"['people holding hands' 'love' 'unity' 'support' 'skin tone'
 'medium-light' 'light']","This emoji shows two people, one with a medium-light skin tone and the other with a light skin tone, holding hands, symbolizing love, unity, and support between individuals."
🧑🏼‍🤝‍🧑🏾,PEOPLE HOLDING HANDS MEDIUM-LIGHT SKIN TONE MEDIUM-DARK SKIN TONE,"['people holding hands' 'unity' 'connection' 'support' 'skin tone'
 'medium-light' 'medium-dark']","This emoji shows two people of medium-light and medium-dark skin tones holding hands, representing unity, support, and connection between individuals."
🧑🏼‍🤝‍🧑🏽,PEOPLE HOLDING HANDS MEDIUM-LIGHT SKIN TONE MEDIUM SKIN TONE,"['people holding hands' 'affection' 'unity' 'support' 'love' 'bond'
 'skin tone' 'medium-light' 'medium']","This emoji shows two people of medium-light and medium skin tones holding hands, representing love, unity, and support, often used to express affection or to symbolize the bond between individuals."
🧑🏽‍🤝‍🧑🏽,PEOPLE HOLDING HANDS MEDIUM SKIN TONE,"['people holding hands' 'affection' 'unity' 'support' 'relationship'
 'medium skin tone']","This emoji shows two people of medium skin tone holding hands, symbolizing love, unity, and support, often used to express affection or to represent diverse relationships."
🧑🏽‍🤝‍🧑🏿,PEOPLE HOLDING HANDS MEDIUM SKIN TONE DARK SKIN TONE,"['people holding hands' 'unity' 'connection' 'support' 'medium skin tone'
 'dark skin tone']","This emoji shows two people of medium and dark skin tones holding hands, symbolizing unity, support, and connection between individuals."
🧑🏽‍🤝‍🧑🏻,PEOPLE HOLDING HANDS MEDIUM SKIN TONE LIGHT SKIN TONE,"['people holding hands' 'unity' 'connection' 'support' 'medium skin tone'
 'light skin tone']","This emoji shows two people of medium and light skin tones holding hands, representing unity, support, and connection between individuals."
🧑🏽‍🤝‍🧑🏾,PEOPLE HOLDING HANDS MEDIUM SKIN TONE MEDIUM-DARK SKIN TONE,"['people holding hands' 'unity' 'connection' 'support' 'medium skin tone'
 'medium-dark skin tone']","This emoji shows two people of medium and medium-dark skin tones holding hands, symbolizing unity, support, and connection between individuals."
🧑🏽‍🤝‍🧑🏼,PEOPLE HOLDING HANDS MEDIUM SKIN TONE MEDIUM-LIGHT SKIN TONE,"['people holding hands' 'love' 'unity' 'support' 'affection'
 'diverse relationships' 'medium skin tone' 'medium-light skin tone']","This emoji shows two people of medium skin tone and medium-light skin tone holding hands, symbolizing love, unity, and support, often used to express affection or to represent diverse relationships."
🫂,PEOPLE HUGGING,"['hug' 'people' 'love' 'affection' 'connection' 'support' 'happiness'
 'gratitude']","This emoji represents two people hugging, symbolizing love, affection, support, and connection, often used to express comfort, happiness, or gratitude."
👯,PEOPLE WITH BUNNY EARS,['bunny ears' 'people' 'playfulness' 'cuteness' 'characters' 'animals'],"This emoji represents two people with bunny ears on their heads, often used to express playfulness, cuteness, or to represent characters with animal-like features."
🤼,PEOPLE WRESTLING,"['wrestling' 'sport' 'competition' 'strength' 'athletes' 'match'
 'physical activity']","This emoji represents two people engaged in a wrestling match, often used to express strength, competition, and sportsmanship."
🎭,PERFORMING ARTS,"['performing arts' 'theater' 'dance' 'music' 'creativity' 'entertainment'
 'culture']","This emoji represents performing arts, including theater, dance, and music, often used to express creativity, entertainment, and cultural experiences."
😣,PERSEVERING FACE,"['frustration' 'annoyance' 'impatience' 'perseverance' 'difficulty'
 'emotion' 'face']","This emoji represents a face expressing frustration, annoyance, or impatience, often used to convey the feeling of persevering through a difficult situation."
🧑,PERSON,['person' 'human' 'individual' 'presence' 'generic' 'figure'],"This emoji represents a person, often used as a generic human figure or to indicate the presence of a person in a message or conversation."
🧑‍🦲,PERSON BALD,"['bald' 'hairless' 'head' 'style' 'cancer awareness' 'medical condition'
 'appearance']","This emoji represents a person with a bald head, often used to depict individuals who have lost their hair or have chosen to shave their heads for various reasons, such as personal style, medical conditions, or cancer awareness."
🧔,PERSON BEARD,['beard' 'man' 'facial hair' 'maturity' 'wisdom' 'style'],"This emoji represents a person with a beard, often used to depict men or individuals with facial hair, symbolizing maturity, wisdom, and personal style."
🚴,PERSON BIKING,"['biking' 'cycling' 'exercise' 'transportation' 'activity' 'fitness'
 'two wheels']","This emoji represents a person biking, often used to express activities, exercise, or transportation on two wheels."
🚴🏿,PERSON BIKING DARK SKIN TONE,"['biking' 'cycling' 'exercise' 'transportation' 'dark skin tone'
 'person of color']","This emoji represents a person biking, with a dark skin tone, indicating a person of color, often used to express activities, exercise, or transportation."
🚴🏻,PERSON BIKING LIGHT SKIN TONE,['biking' 'cyclist' 'light skin tone' 'health' 'transportation' 'outdoor'],"This emoji represents a person biking, with a light skin tone, indicating a cyclist engaging in a healthy outdoor activity and promoting eco-friendly transportation."
🚴🏾,PERSON BIKING MEDIUM-DARK SKIN TONE,['biking' 'cycling' 'exercise' 'transportation' 'medium-dark skin tone'],"This emoji represents a person biking with a medium-dark skin tone, often used to convey the activity of cycling, exercise, or transportation."
🚴🏼,PERSON BIKING MEDIUM-LIGHT SKIN TONE,['biking' 'cycling' 'exercise' 'transportation' 'medium-light skin tone'],"This emoji represents a person biking with a medium-light skin tone, often used to convey the activity of cycling, exercise, or transportation."
🚴🏽,PERSON BIKING MEDIUM SKIN TONE,['biking' 'cycling' 'exercise' 'transportation' 'medium skin tone'],"This emoji represents a person biking, with a medium skin tone, often used to convey the activity of cycling, exercise, or transportation."
👱,PERSON BLOND HAIR,['blond hair' 'person' 'character' 'individual' 'appearance' 'hair'],"This emoji represents a person with blond hair, often used to convey a character or individual with this specific hair feature."
⛹️,PERSON BOUNCING BALL,['person' 'bouncing' 'ball' 'sports' 'exercise' 'basketball' 'activity'],"This emoji represents a person bouncing a ball, often used to convey the activity of playing basketball or engaging in sports and exercise."
⛹,PERSON BOUNCING BALL,['person' 'bouncing' 'ball' 'sports' 'exercise' 'basketball' 'activity'],"This emoji represents a person bouncing a ball, often used to convey the activity of playing basketball or engaging in sports and exercise."
⛹🏿,PERSON BOUNCING BALL DARK SKIN TONE,"['person' 'bouncing ball' 'dark skin tone' 'sports' 'exercise'
 'basketball' 'activity']","This emoji represents a person, with dark skin tone, bouncing a ball, often used to convey the activity of playing basketball or engaging in sports and exercise."
⛹🏻,PERSON BOUNCING BALL LIGHT SKIN TONE,"['person' 'bouncing ball' 'light skin tone' 'sports' 'recreation'
 'basketball' 'outdoor activity']","This emoji represents a person, with a light skin tone, bouncing a ball, often used to convey the activity of playing basketball or engaging in sports and outdoor recreation."
⛹🏾,PERSON BOUNCING BALL MEDIUM-DARK SKIN TONE,"['person' 'bouncing ball' 'medium-dark skin tone' 'sports' 'exercise'
 'basketball' 'activity']","This emoji represents a person bouncing a ball, with a medium-dark skin tone, often used to convey the activity of playing basketball or engaging in sports and exercise."
⛹🏼,PERSON BOUNCING BALL MEDIUM-LIGHT SKIN TONE,"['person' 'bouncing ball' 'sports' 'medium-light skin tone' 'basketball'
 'activity' 'play']","This emoji represents a person bouncing a ball, with a medium-light skin tone, often used to convey the activity of playing basketball or engaging in sports."
⛹🏽,PERSON BOUNCING BALL MEDIUM SKIN TONE,"['person' 'medium skin tone' 'bouncing ball' 'sports' 'exercise'
 'basketball' 'activity']","This emoji represents a person of medium skin tone bouncing a ball, often used to convey the activity of playing basketball or engaging in sports and exercise."
🙇,PERSON BOWING,['bowing' 'gratitude' 'respect' 'politeness' 'gesture' 'appreciation'],"This emoji represents a person bowing, often used to express gratitude, respect, or politeness in various situations."
🙇🏿,PERSON BOWING DARK SKIN TONE,['bowing' 'gratitude' 'respect' 'politeness' 'dark skin tone' 'person'],"This emoji represents a person bowing with a dark skin tone, often used to express gratitude, respect, or politeness in various situations."
🙇🏻,PERSON BOWING LIGHT SKIN TONE,['bowing' 'gratitude' 'respect' 'politeness' 'light skin tone' 'person'],"This emoji represents a person bowing with a light skin tone, often used to express gratitude, respect, or politeness in various situations."
🙇🏾,PERSON BOWING MEDIUM-DARK SKIN TONE,"['bowing' 'gratitude' 'respect' 'politeness' 'medium-dark skin tone'
 'person']","This emoji represents a person bowing with a medium-dark skin tone, often used to express gratitude, respect, or politeness in various situations."
🙇🏼,PERSON BOWING MEDIUM-LIGHT SKIN TONE,"['bowing' 'gratitude' 'respect' 'politeness' 'medium-light skin tone'
 'person']","This emoji represents a person bowing with a medium-light skin tone, often used to express gratitude, respect, or politeness in various situations."
🙇🏽,PERSON BOWING MEDIUM SKIN TONE,['bowing' 'gratitude' 'respect' 'politeness' 'medium skin tone'],"This emoji represents a person bowing with a medium skin tone, often used to express gratitude, respect, or politeness in various situations."
🤸,PERSON CARTWHEELING,['cartwheel' 'person' 'play' 'gymnastics' 'activity' 'fun' 'energy'],"This emoji represents a person performing a cartwheel, a fun and energetic physical activity often associated with childhood, playfulness, and gymnastics."
🤸🏿,PERSON CARTWHEELING DARK SKIN TONE,"['cartwheel' 'person' 'dark skin tone' 'excitement' 'joy' 'playfulness'
 'activity']","This emoji represents a person performing a cartwheel, with a dark skin tone, indicating a person of color. It is often used to express excitement, joy, or to show a playful and active lifestyle."
🤸🏻,PERSON CARTWHEELING LIGHT SKIN TONE,"['cartwheel' 'person' 'excitement' 'joy' 'flexibility' 'play' 'activity'
 'light skin tone']","This emoji represents a person performing a cartwheel, often used to express excitement, joy, or flexibility, and can also indicate a playful or active lifestyle."
🤸🏾,PERSON CARTWHEELING MEDIUM-DARK SKIN TONE,"['cartwheel' 'person' 'joy' 'excitement' 'physical activity'
 'medium-dark skin tone' 'person of color']","This emoji represents a person performing a cartwheel, with a medium-dark skin tone, indicating a person of color, often used to express excitement, joy, or physical activity."
🤸🏼,PERSON CARTWHEELING MEDIUM-LIGHT SKIN TONE,"['cartwheel' 'joy' 'playfulness' 'physical activity'
 'medium-light skin tone' 'person' 'mixed or lighter complexion']","This emoji represents a person performing a cartwheel, with a medium-light skin tone, indicating a person of mixed or lighter complexion, often used to express joy, playfulness, or physical activity."
🤸🏽,PERSON CARTWHEELING MEDIUM SKIN TONE,"['cartwheel' 'person' 'joy' 'flexibility' 'sports' 'gymnastics' 'play'
 'medium skin tone']","This emoji represents a person performing a cartwheel, often used to express excitement, joy, or flexibility, and can be associated with sports, gymnastics, or childhood play."
🧗,PERSON CLIMBING,"['climbing' 'challenge' 'achievement' 'progress' 'adventure'
 'mountaineering' 'personal growth']","This emoji represents a person climbing, often used to express the act of overcoming challenges or reaching new heights in life."
🧗🏿,PERSON CLIMBING DARK SKIN TONE,"['climbing' 'adventure' 'challenge' 'physical activity' 'dark skin tone'
 'person' 'sports']","This emoji represents a person climbing, with a dark skin tone, indicating a person with a darker skin complexion, often used to express adventure, challenge, or physical activity."
🧗🏻,PERSON CLIMBING LIGHT SKIN TONE,"['climbing' 'adventure' 'determination' 'challenge' 'outdoor'
 'light skin tone']","This emoji represents a person climbing, with a light skin tone, indicating an individual engaging in an adventurous activity, often used to express determination, challenge, or outdoor pursuits."
🧗🏾,PERSON CLIMBING MEDIUM-DARK SKIN TONE,"['climbing' 'adventure' 'ascent' 'challenge' 'medium-dark skin tone'
 'person']","This emoji represents a person climbing, with a medium-dark skin tone, often used to convey the act of ascending, overcoming challenges, or engaging in adventurous activities."
🧗🏼,PERSON CLIMBING MEDIUM-LIGHT SKIN TONE,"['climbing' 'adventure' 'challenge' 'medium-light skin tone' 'outdoor'
 'sports' 'personal growth']","This emoji represents a person climbing, with a medium-light skin tone, symbolizing adventure, challenge, and personal growth, often used in the context of outdoor activities or sports."
🧗🏽,PERSON CLIMBING MEDIUM SKIN TONE,"['climbing' 'adventure' 'challenge' 'ascent' 'medium skin tone' 'person'
 'activity']","This emoji represents a person climbing, with a medium skin tone, often used to convey the act of ascending, overcoming challenges, or engaging in adventurous activities."
🧑‍🦱,PERSON CURLY HAIR,['curly hair' 'hair type' 'person' 'appearance' 'personal trait'],"This emoji represents a person with curly hair, often used to express a specific hair type or to indicate a personal characteristic."
🧑🏿,PERSON DARK SKIN TONE,['person' 'dark skin tone' 'representation' 'inclusion' 'skin color'],"This emoji represents a person with a dark skin tone, often used to show representation and inclusion of people with darker skin complexions."
🧑🏿‍🦲,PERSON DARK SKIN TONE BALD,"['person' 'dark skin tone' 'bald' 'vulnerability' 'self-expression'
 'hair loss' 'cancer']","This emoji represents a person with dark skin tone and a bald head, often used to convey a sense of vulnerability, self-expression, or to represent individuals with hair loss or cancer patients undergoing chemotherapy."
🧔🏿,PERSON DARK SKIN TONE BEARD,"['person' 'dark skin tone' 'beard' 'masculinity' 'self-care'
 'personal grooming']","This emoji represents a person with a dark skin tone and a beard, often used to convey the concept of masculinity, self-care, or personal grooming."
👱🏿,PERSON DARK SKIN TONE BLOND HAIR,"['person' 'dark skin tone' 'blond hair' 'appearance' 'individuality'
 'personal style']","This emoji represents a person with a dark skin tone and blond hair, often used to convey a specific appearance or to emphasize individuality and personal style."
🧑🏿‍🦱,PERSON DARK SKIN TONE CURLY HAIR,"['person' 'dark skin tone' 'curly hair' 'representation' 'individuality'
 'diverse']","This emoji represents a person with a dark skin tone and curly hair, often used to convey representation and individuality in various contexts."
🧑🏿‍🦰,PERSON DARK SKIN TONE RED HAIR,['person' 'dark skin tone' 'red hair' 'individuality' 'appearance' 'style'],"This emoji represents a person with dark skin tone and red hair, often used to convey individuality, personal style, or to emphasize physical appearance."
🧑🏿‍🦳,PERSON DARK SKIN TONE WHITE HAIR,"['person' 'dark skin tone' 'white hair' 'individuality' 'personal style'
 'appearance']","This emoji represents a person with dark skin tone and white hair, often used to convey individuality, personal style, or to emphasize physical appearance."
🤦,PERSON FACEPALMING,"['facepalming' 'frustration' 'embarrassment' 'disbelief' 'action' 'human'
 'gesture']","This emoji represents a person facepalming, an action often used to express frustration, embarrassment, or disbelief at something they have done or witnessed."
🤦🏿,PERSON FACEPALMING DARK SKIN TONE,"['facepalming' 'frustration' 'embarrassment' 'dark skin tone' 'humor'
 'person']","This emoji represents a person facepalming with a dark skin tone, often used to express frustration, embarrassment, or disbelief in a humorous way."
🤦🏻,PERSON FACEPALMING LIGHT SKIN TONE,"['facepalming' 'frustration' 'embarrassment' 'light skin tone' 'humor'
 'disbelief' 'person']","This emoji represents a person facepalming with a light skin tone, often used to express frustration, embarrassment, or disbelief in a humorous way."
🤦🏾,PERSON FACEPALMING MEDIUM-DARK SKIN TONE,"['facepalming' 'frustration' 'embarrassment' 'humor'
 'medium-dark skin tone' 'person']","This emoji represents a person facepalming with a medium-dark skin tone, expressing frustration, embarrassment, or disbelief in a humorous way."
🤦🏼,PERSON FACEPALMING MEDIUM-LIGHT SKIN TONE,"['facepalming' 'frustration' 'embarrassment' 'humor'
 'medium-light skin tone' 'person']","This emoji represents a person facepalming with a medium-light skin tone, expressing frustration, embarrassment, or disbelief in a humorous way."
🤦🏽,PERSON FACEPALMING MEDIUM SKIN TONE,"['facepalming' 'frustration' 'embarrassment' 'humor' 'medium skin tone'
 'person']","This emoji represents a person facepalming with a medium skin tone, often used to express frustration, embarrassment, or disbelief in a humorous way."
🧑‍🍼,PERSON FEEDING BABY,['person' 'baby' 'feeding' 'nurturing' 'family' 'care' 'support'],"This emoji represents a person, typically a parent or caregiver, feeding a baby, often used to express nurturing, love, and support in family-related contexts."
🧑🏿‍🍼,PERSON FEEDING BABY DARK SKIN TONE,['person' 'dark skin tone' 'feeding' 'baby' 'nurturing' 'care' 'family'],"This emoji represents a person, specifically a dark skin tone individual, feeding a baby, often used to express nurturing, care, and family-related emotions."
🧑🏻‍🍼,PERSON FEEDING BABY LIGHT SKIN TONE,"['person' 'light skin tone' 'feeding' 'baby' 'nurturing' 'care' 'support'
 'comfort']","This emoji represents a person, specifically a light skin tone, feeding a baby, often used to express nurturing, care, or the act of providing support and comfort."
🧑🏾‍🍼,PERSON FEEDING BABY MEDIUM-DARK SKIN TONE,"['person' 'feeding' 'baby' 'medium-dark skin tone' 'nurturing' 'care'
 'parenthood']","This emoji represents a person, specifically a medium-dark skin tone, feeding a baby, often used to express nurturing, care, or parenthood."
🧑🏼‍🍼,PERSON FEEDING BABY MEDIUM-LIGHT SKIN TONE,"['person' 'feeding' 'baby' 'care' 'nurturing' 'family'
 'medium-light skin tone']","This emoji represents a person, specifically a medium-light skin tone, feeding a baby, symbolizing care, nurturing, and family."
🧑🏽‍🍼,PERSON FEEDING BABY MEDIUM SKIN TONE,['person' 'feeding' 'baby' 'care' 'nurturing' 'family' 'medium skin tone'],"This emoji represents a person, specifically a medium skin tone, feeding a baby, symbolizing care, nurturing, and family."
🤺,PERSON FENCING,"['fencing' 'sport' 'agility' 'strategy' 'reflexes' 'protective gear'
 'competition']","This emoji represents a person fencing, showcasing a person in protective gear, holding a fencing foil, and demonstrating the sport of fencing, which involves agility, strategy, and quick reflexes."
🙍,PERSON FROWNING,['person' 'frowning' 'disappointment' 'sadness' 'disapproval'],"This emoji represents a person with a frown, expressing disappointment, sadness, or disapproval."
🙍🏿,PERSON FROWNING DARK SKIN TONE,"['person' 'frowning' 'dark skin tone' 'emotion' 'disappointment'
 'frustration' 'disapproval']","This emoji represents a person with a dark skin tone, showing a frowning facial expression, often used to convey disappointment, frustration, or disapproval."
🙍🏻,PERSON FROWNING LIGHT SKIN TONE,"['person' 'frowning' 'light skin tone' 'disappointment' 'sadness'
 'disapproval']","This emoji represents a person with a frowning facial expression, with a light skin tone, often used to convey disappointment, sadness, or disapproval."
🙍🏾,PERSON FROWNING MEDIUM-DARK SKIN TONE,"['person' 'frowning' 'medium-dark skin tone' 'emotion' 'disappointment'
 'sadness' 'disapproval']","This emoji represents a person with a medium-dark skin tone, showing a frowning facial expression, often used to convey disappointment, sadness, or disapproval."
🙍🏼,PERSON FROWNING MEDIUM-LIGHT SKIN TONE,"['person' 'frowning' 'medium-light skin tone' 'disappointment'
 'disapproval' 'frustration']","This emoji represents a person with a medium-light skin tone frowning, often used to express disappointment, disapproval, or frustration."
🙍🏽,PERSON FROWNING MEDIUM SKIN TONE,"['person' 'frowning' 'medium skin tone' 'disappointment' 'disapproval'
 'sadness']","This emoji represents a person with a medium skin tone frowning, often used to express disappointment, disapproval, or sadness."
🙅,PERSON GESTURING NO,"['hand gesture' 'False' 'disagreement' 'refusal' 'disapproval'
 'communication' 'negative']","This emoji represents a person gesturing 'no' with their hand, often used to express disagreement, refusal, or disapproval in various contexts."
🙅🏿,PERSON GESTURING NO DARK SKIN TONE,['person' 'gesture' 'False' 'disagreement' 'refusal' 'dark skin tone'],"This emoji shows a person gesturing 'no' with a dark skin tone, used to express disagreement, refusal, or negation in various contexts."
🙅🏻,PERSON GESTURING NO LIGHT SKIN TONE,"['person' 'gesture' 'False' 'light skin tone' 'disagreement' 'refusal'
 'disapproval']","This emoji represents a person gesturing 'no' with a light skin tone, often used to express disagreement, refusal, or disapproval in various contexts."
🙅🏾,PERSON GESTURING NO MEDIUM-DARK SKIN TONE,"['person' 'gesture' 'False' 'disagreement' 'refusal' 'disapproval'
 'medium-dark skin tone']","This emoji represents a person gesturing 'no' with a medium-dark skin tone, often used to express disagreement, refusal, or disapproval in various contexts."
🙅🏼,PERSON GESTURING NO MEDIUM-LIGHT SKIN TONE,"['person' 'gesture' 'False' 'disagreement' 'refusal' 'disapproval'
 'medium-light skin tone']","This emoji represents a person gesturing 'no' with a medium-light skin tone, often used to express disagreement, refusal, or disapproval in various contexts."
🙅🏽,PERSON GESTURING NO MEDIUM SKIN TONE,"['gesture' 'False' 'disagreement' 'refusal' 'disapproval'
 'medium skin tone' 'person']","This emoji represents a person gesturing 'no' with a medium skin tone, often used to express disagreement, refusal, or disapproval in various contexts."
🙆,PERSON GESTURING OK,['gesture' 'agreement' 'approval' 'understanding' 'hand' 'communication'],"This emoji represents a person gesturing 'OK' with one hand, often used to express agreement, understanding, or approval in various contexts."
🙆🏿,PERSON GESTURING OK DARK SKIN TONE,"['gesture' 'agreement' 'approval' 'understanding' 'dark skin tone'
 'person']","This emoji represents a person with a dark skin tone gesturing 'OK' with their hand, often used to express agreement, understanding, or approval."
🙆🏻,PERSON GESTURING OK LIGHT SKIN TONE,"['gesture' 'agreement' 'approval' 'understanding' 'light skin tone'
 'person']","This emoji represents a person gesturing 'ok' with a light skin tone, often used to express agreement, understanding, or approval in various contexts."
🙆🏾,PERSON GESTURING OK MEDIUM-DARK SKIN TONE,"['gesture' 'agreement' 'approval' 'understanding' 'medium-dark skin tone'
 'person']","This emoji represents a person with a medium-dark skin tone gesturing 'OK' with their hand, often used to express agreement, understanding, or approval."
🙆🏼,PERSON GESTURING OK MEDIUM-LIGHT SKIN TONE,"['gesture' 'agreement' 'understanding' 'fine' 'medium-light skin tone'
 'person']","This emoji shows a person with a medium-light skin tone gesturing 'OK' with their hand, often used to express agreement, understanding, or to signal that everything is fine."
🙆🏽,PERSON GESTURING OK MEDIUM SKIN TONE,"['gesture' 'agreement' 'approval' 'understanding' 'medium skin tone'
 'person']","This emoji represents a person with a medium skin tone gesturing 'OK' with their hand, often used to express agreement, understanding, or approval."
💇,PERSON GETTING HAIRCUT,['haircut' 'grooming' 'personal care' 'appearance' 'beauty' 'salon'],"This emoji represents a person getting a haircut, often used to express the act of grooming, personal care, or a change in appearance."
💇🏿,PERSON GETTING HAIRCUT DARK SKIN TONE,"['haircut' 'grooming' 'personal care' 'appearance' 'dark skin tone'
 'complexion']","This emoji represents a person getting a haircut, with a dark skin tone, indicating a character with a darker complexion. It is often used to convey the act of grooming, personal care, or a change in appearance."
💇🏻,PERSON GETTING HAIRCUT LIGHT SKIN TONE,['haircut' 'grooming' 'personal care' 'appearance' 'light skin tone'],"This emoji represents a person getting a haircut, specifically with a light skin tone, often used to convey the idea of grooming, personal care, or a change in appearance."
💇🏾,PERSON GETTING HAIRCUT MEDIUM-DARK SKIN TONE,"['haircut' 'grooming' 'personal care' 'medium-dark skin tone'
 'person of color']","This emoji represents a person getting a haircut, with a medium-dark skin tone, indicating a person of color, often used to express the act of grooming or personal care."
💇🏼,PERSON GETTING HAIRCUT MEDIUM-LIGHT SKIN TONE,"['haircut' 'grooming' 'personal care' 'medium-light skin tone' 'beauty'
 'salon']","This emoji represents a person getting a haircut, specifically with a medium-light skin tone, often used to convey the action of grooming or personal care."
💇🏽,PERSON GETTING HAIRCUT MEDIUM SKIN TONE,['haircut' 'grooming' 'personal care' 'appearance' 'medium skin tone'],"This emoji represents a person getting a haircut, with a medium skin tone, often used to convey the act of grooming, personal care, or a change in appearance."
💆,PERSON GETTING MASSAGE,['massage' 'relaxation' 'self-care' 'spa' 'wellness'],"This emoji represents a person receiving a massage, often used to express relaxation, self-care, or to indicate a spa or wellness experience."
💆🏿,PERSON GETTING MASSAGE DARK SKIN TONE,['massage' 'relaxation' 'self-care' 'dark skin tone' 'rejuvenation'],"This emoji represents a person receiving a massage, with a dark skin tone, indicating relaxation, self-care, and rejuvenation."
💆🏻,PERSON GETTING MASSAGE LIGHT SKIN TONE,"['massage' 'relaxation' 'self-care' 'light skin tone' 'well-being' 'spa'
 'rest']","This emoji represents a person receiving a massage, with a light skin tone, often used to convey relaxation, self-care, and rejuvenation."
💆🏾,PERSON GETTING MASSAGE MEDIUM-DARK SKIN TONE,"['massage' 'relaxation' 'self-care' 'medium-dark skin tone' 'person'
 'rejuvenation']","This emoji represents a person receiving a massage, with a medium-dark skin tone, indicating relaxation, self-care, and rejuvenation."
💆🏼,PERSON GETTING MASSAGE MEDIUM-LIGHT SKIN TONE,"['massage' 'relaxation' 'self-care' 'rejuvenation'
 'medium-light skin tone']","This emoji represents a person receiving a massage, with a medium-light skin tone, indicating relaxation, self-care, and rejuvenation."
💆🏽,PERSON GETTING MASSAGE MEDIUM SKIN TONE,['massage' 'relaxation' 'self-care' 'pampering' 'break' 'medium skin tone'],"This emoji represents a person receiving a massage, often used to express relaxation, self-care, or to indicate that someone is being pampered or taking a break."
🏌️,PERSON GOLFING,['golf' 'sport' 'recreation' 'outdoor' 'leisure' 'activity' 'game'],"This emoji represents a person golfing, showing a person holding a golf club and standing on a green grass field, often used to express participation in the sport or recreational activity of golf."
